Slang,Formal
kabuuuurrr,kabur
respect,respek
permasalakan,memasalahkan
indahmu,indah mu
porsche,porsche
pelukan,pelukan
jae,jae
kaaih,kasih
faster,lebih cepat
jangankan,jangankan
berharga,berharga
aisjatengplath,arsenal indonesia supporters jawa tengah
aisjogja,asrsenal indonesia supporters jogja
didewasakan,di dewasakan
cab,cabang
diorang,mereka
kangennya,kangen nya
pembukaan,pembukaan
kamuuhhh,kamu
jeng,jeng
ngesot,ngesot
slek,berselisih
dijejerin,di jejer in
statusnya,stausnya
hr,hari
votenya,suara nya
sahurrrr,sahur
alarm,alaram
sante,santai
ngerumpi,merumpi
body,badan
artinya,arti nya
bbrpa,beberapa
expired,kadaluarsa
seminggu,seminggu
mberi,memberi
skrg,sekarang
penjeblos,pelaku penahanan
nyengat,menyengat
ngepas,pas
tuntas,tuntas
sampean,kamu
direcycle,di daur ulang
pengelolanya,pengelola nya
merakan,merasakan
siak,siak
mail,mail
worth,bernilai
ngehate,benci
penjualan,penjualan
pfftt,pfftt
megangin,memegang
ikhlaskan,ikhlas kan
borr,borr
saranghae,cinta
bing,baasa inggris
pdahal,padahal
once,sekali
aqilah,aqilah
hastag,hashtag
followersnya,pengikut nya
sediain,sediakan
pending,tunda
donghan,donghan
anatomi,anatomi
imagine,bayangkan
kosanlyfe,kehidupan kosan
seenak,seenak
dikenal,di kenal
tokopedia,tokopedia
poltekkes,politeknik kesehatan kemenkes
badanya,badan nya
pki,partai komunis indonesia
sewaktu,sewaktu
universitas,universitas
yaampuuuuuunnn,ya ampun
tni,tentara nasional indonesia
wkk,tertawa
pooper,pooper
meh,ingin
bet,banget
terhapus,terhapus
sucimu,suci mu
neg,neg
menjemputmu,menjemput mu
ponco,ponco
hatiyangcukupdalam,hati yang cukup dalam
misqin,miskin
bibi,bibi
lah,lah
bahak,bahak
halte,halte
oriflame,oriflame
singanya,singa nya
la,lah
dasarrr,dasar
prosesnya,proses nya
tebakan,tebakan
melolong,melolong
soonhoon,soonhoon
kolab,kolaborasi
kesukaan,kesukaan
capek,capek
ducati,ducati
bayangnya,bayang nya
penggerak,penggerak
slalu,ya selalu
git,git
amarahnya,amarah nya
mantapkan,mantap kan
bakulkuliner,bakul kuliner
gga,tidak
menpar,menteri pariwisata
buyback,membeli kembali
recomended,rekomen
ngeharep,berharap
parkiran,parkiran
silailah,silsilah
yugyeom,yugyeom
setinggi,setinggi
iuran,iuran
dicintainya,di cintai nya
tissue,tisu
waturoyo,waturoyo
lingkaran,lingkaran
thailand,thailand
kelingkingnya,kelingking nya
terduga,terduga
princess,princess
hallo,halo
huhuu,menangis
mengajarkan,mengajarkan
memanfaatkan,memanfaatkan
selektif,selektif
dicinta,di cinta
longsor,longsor
bacain,membaca
ketiganya,ketiga nya
diserang,di serang
mala,mala
dikecamatan,di kecamatan
besdey,birthday
dikeluarkan,di keluar kan
kodratnya,kodrat nya
cintas,cinta
latepost,latepost
selamaad,selamat
pokokmen,pada dasarnya
ngandelin,mengandalkan
could,bisa
bergambar,bergambar
tercabik,terccabik
exo,exo
cret,cret
neto,neto
diunfol,berhenti mengikuti
penangkapan,penangkapan
terjadi,terjadi
berprestasi,berprestasi
john,john
goler,goler
innalillahi,innalillahi
faham,paham
mempengaruhi,memengaruhi
nyolotan,menantang
sedangkan,sedangkan
lelakiku,lelaki ku
kutukan,kutukan
terpejam,terpejam
nahan,tahan
iyaaa,iya
waterfalls,waterfalls
mgkin,mungkin
mtk,matematika
masi,masih
hatimu,hati mu
uyul,uyul
kalian,kalian
kemasan,kemasan
sayngnya,sayang nya
jamila,jamila
move,move
dikerjain,dikerjain
kebahagianku,kebahagiaan ku
nyalakan,menyalakan
weding,pernikahan
cuacanya,cuaca nya
tapigakdalamdalambanget,tapi gak dalam dalam banget
yuuuk,yuk
setop,setop
jadigalau,jadi galau
sekelepek,se kelepek
firsta,firsta
kinder,kinder
culun,culun
apaansi,apaan sih
carats,carats
lenih,lebih
sekitaran,sekitar an
notebook,notebook
lesbi,lesbi
neural,neural
ssuai,sesua
piala,piala
sesamanya,sesama nya
aaah,ah
bisanya,bisa nya
